"Ignore","Company","Paddle","Price","Face Material","Grip length","Core Material","Core thickness in mm","Grip thickness","Shape","RPM","Weight","Swing weight","Twist weight","YouTube Review","Link to purchase","Discount code","CODES","Notes","Discount","Paddle Tier"
"146","SLK","Halo XL Control","139.99","Raw carbon fiber","5.7","Polymer Honeycomb","16","4.375","Elongated","1448","7.6-8.2oz","122","6.02","https://youtu.be/hFRmxj_P75U","https://bit.ly/44NrYU2","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"147","SLK","Halo XL Power","139.99","Raw carbon fiber","5.7","Polymer Honeycomb","13","4","Elongated","1403","7.5-8.0oz","123","","https://youtu.be/hFRmxj_P75U","https://bit.ly/44NrYU2","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"148","SLK","Omega Max","139.99","Carbon Fiber, Fiberglass","5","Polymer Honeycomb","13","4.25","Standard","1700","7.6-8.1oz","103","6.2","https://www.youtube.com/watch?v=iII4PtfInu0&t=348s","https://bit.ly/3K8c8uE","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"149","SLK","Evo Soft Max","119.99","Carbon Fiber","4.875","Polymer Honeycomb","16","4.25","Standard","1296","7.6-8.1oz","105","","","https://bit.ly/34pTeyM","","","","","Midrange"
"150","SLK","EVO 2.0 Control XL","99.99","Carbon Fiber","5.75","Polymer Honeycomb","16","4.25","Elongated","1440","7.6-8.1oz","109","5.59","","https://bit.ly/3Pbws0U","","","","","Midrange"
"151","SLK","EVO 2.0 Hybrid XL","99.99","Carbon Fiber","5.75","Polymer Honeycomb","13","4.25","Elongated","1400","7.6-8.0oz","107","5.4","","https://bit.ly/3EOlkTb","","","","","Midrange"
"152","SLK","EVO 2.0 Power XL","99.99","Carbon Fiber","5.75","Polymer Honeycomb","13","4.25","Elongated","1460","7.8-8.2oz","111","6.36","","https://bit.ly/3XYnatm","","","","","Midrange"
"153","Selkirk","Vanguard S2 2.0","199.99","Carbon Fiber","4.5","Polymer Honeycomb","16","4.25","Standard","","7.3-8.3oz","106","","","https://bit.ly/3PvGMT5","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"154","Selkirk","Vanguard Invikta 2.0","199.99","Carbon Fiber","5.25","Polymer Honeycomb","16","4.25","Elongated","1148","7.3-8.3oz","110","5.62","https://www.youtube.com/watch?v=cPXI8UfmH70&t=21s","https://bit.ly/3PvGMT5","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"155","Selkirk","Vanguard Maxima 2.0","199.99","Carbon Fiber","5.6","Polymer Honeycomb","16","4.25","Elongated","1186","7.4-8.3oz","118","6.44","","https://bit.ly/3PvGMT5","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"156","Selkirk","Vanguard Mach 6 2.0","199.99","Carbon Fiber","5.875","Polymer Honeycomb","16","4.25","Elongated","1151","7.3-8.3oz","123","6.27","","https://bit.ly/3PvGMT5","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
